,block_number,tx_hash
120,account_address,0xe8c060f8052e07423f71d445277c61ac5138a2e5
121,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
122,start_amount,3127874984886665216
123,end_amount,3138226851976984178
124,profit_amount,10351867090318962
125,error,None
126,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0x8738dba933ddfa71c8e3412f4aaaf9f40d9ac8a3c2871a534dc98a1568a2dc7f', transaction_position=0, block_number=15510046, trace_address=[1], contract_address='0xf845cba831be88268b1415d976db0afc7b8c6357', from_address='0x5aa3393e361c2eb342408559309b3e873cd876d6', to_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=302961349608005257, token_out_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_out_amount=476791232431478627995094, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0x8738dba933ddfa71c8e3412f4aaaf9f40d9ac8a3c2871a534dc98a1568a2dc7f', transaction_position=0, block_number=15510046, trace_address=[3], contract_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', from_address='0xf845cba831be88268b1415d976db0afc7b8c6357', to_address='0x5aa3393e361c2eb342408559309b3e873cd876d6', token_in_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_in_amount=476791232431478627995094, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=309636455354044161, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
127,block_number,15510046
128,transaction_hash,0x8738dba933ddfa71c8e3412f4aaaf9f40d9ac8a3c2871a534dc98a1568a2dc7f
129,account_address,0x5aa3393e361c2eb342408559309b3e873cd876d6
130,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
131,start_amount,302961349608005257
132,end_amount,309636455354044161
133,profit_amount,6675105746038904
134,error,None
135,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0x65199e60b924c1f27b7d67e6b670667435f6ce2334578f9f898de009aacbecb2', transaction_position=67, block_number=15510047, trace_address=[0, 5, 0], contract_address='0xf845cba831be88268b1415d976db0afc7b8c6357', from_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', to_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=757077252526799500, token_out_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_out_amount=1142891470781743404148448, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0x65199e60b924c1f27b7d67e6b670667435f6ce2334578f9f898de009aacbecb2', transaction_position=67, block_number=15510047, trace_address=[0, 7, 2], contract_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', from_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', to_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', token_in_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_in_amount=1142891470781743404148448, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=805581381298324606, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
136,block_number,15510047
137,transaction_hash,0x65199e60b924c1f27b7d67e6b670667435f6ce2334578f9f898de009aacbecb2
138,account_address,0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a
139,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
140,start_amount,757077252526799500
141,end_amount,805581381298324606
142,profit_amount,48504128771525106
143,error,None
144,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0x0abc80ee5bd94355537e840ee97ba961c8cdc50eef40c4bd6a584b024cb7ce75', transaction_position=204, block_number=15510062, trace_address=[0, 0], contract_address='0xcbcdf9626bc03e24f779434178a73a0b4bad62ed', from_address='0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45', to_address='0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=50000000000000000, token_out_address='0x2260fac5e5542a773aa44fbcfedf7c193bc2c599', token_out_amount=402453, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV3Pool', transaction_hash='0x0abc80ee5bd94355537e840ee97ba961c8cdc50eef40c4bd6a584b024cb7ce75', transaction_position=204, block_number=15510062, trace_address=[0, 1], contract_address='0x4585fe77225b41b697c938b018e2ac67ac5a20c0', from_address='0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45', to_address='0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45', token_in_address='0x2260fac5e5542a773aa44fbcfedf7c193bc2c599', token_in_amount=402453, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=49873099452166830, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None')]"
145,block_number,15510062
146,transaction_hash,0x0abc80ee5bd94355537e840ee97ba961c8cdc50eef40c4bd6a584b024cb7ce75
147,account_address,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
148,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
149,start_amount,50000000000000000
150,end_amount,49873099452166830
151,profit_amount,-126900547833170
152,error,None
153,swaps,"[Swap(abi_name='UniswapV2Pair', transaction_hash='0xf5c109734d4dcd6ab15ac24b3d14ad5a86050e2deeb825ec84765b2280947983', transaction_position=6, block_number=15510066, trace_address=[0, 2, 1], contract_address='0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b', from_address='0xc58e65773517fe19263114514071994decab6a18', to_address='0xc90ea5fa2d3eacbd63ae9e37c80a5772e57785b6', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=243722145459339264, token_out_address='0xa47c8bf37f92abed4a126bda807a7b7498661acd', token_out_amount=6970431123613942808576, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None'), Swap(abi_name='UniswapV3Pool', transaction_hash='0xf5c109734d4dcd6ab15ac24b3d14ad5a86050e2deeb825ec84765b2280947983', transaction_position=6, block_number=15510066, trace_address=[0], contract_address='0xc90ea5fa2d3eacbd63ae9e37c80a5772e57785b6', from_address='0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b', to_address='0x9a0cc6791a5409ce3547f1f1d00e058c79d0a72c', token_in_address='0xa47c8bf37f92abed4a126bda807a7b7498661acd', token_in_amount=6970431123613942808576, token_out_address='0xa693b19d2931d498c5b318df961919bb4aee87a5', token_out_amount=6858115840, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0xf5c109734d4dcd6ab15ac24b3d14ad5a86050e2deeb825ec84765b2280947983', transaction_position=6, block_number=15510066, trace_address=[1], contract_address='0x9a0cc6791a5409ce3547f1f1d00e058c79d0a72c', from_address='0xc90ea5fa2d3eacbd63ae9e37c80a5772e57785b6', to_address='0xc58e65773517fe19263114514071994decab6a18', token_in_address='0xa693b19d2931d498c5b318df961919bb4aee87a5', token_in_amount=6858115840, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=247881413263622144, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
154,block_number,15510066
155,transaction_hash,0xf5c109734d4dcd6ab15ac24b3d14ad5a86050e2deeb825ec84765b2280947983
156,account_address,0xc58e65773517fe19263114514071994decab6a18
157,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
158,start_amount,243722145459339264
159,end_amount,247881413263622144
160,profit_amount,4159267804282880
161,error,None
